id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA GIZI KURANG,6130,ORANG,2020
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA PENDEK,8151,ORANG,2020
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA KURUS,1684,ORANG,2020
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA GIZI KURANG,161,ORANG,2020
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA PENDEK,1316,ORANG,2020
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA KURUS,357,ORANG,2020
136,32,JAWA BARAT,3271,KOTA BOGOR,BALITA GIZI KURANG,2915,ORANG,2020
137,32,JAWA BARAT,3271,KOTA BOGOR,BALITA PENDEK,8305,ORANG,2020
138,32,JAWA BARAT,3271,KOTA BOGOR,BALITA KURUS,1705,ORANG,2020
139,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA GIZI KURANG,1333,ORANG,2020
140,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA PENDEK,1683,ORANG,2020
141,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA KURUS,634,ORANG,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA GIZI KURANG,7910,ORANG,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA PENDEK,9567,ORANG,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA KURUS,5739,ORANG,2020
145,32,JAWA BARAT,3274,KOTA CIREBON,BALITA GIZI KURANG,2149,ORANG,2020
146,32,JAWA BARAT,3274,KOTA CIREBON,BALITA PENDEK,1902,ORANG,2020
147,32,JAWA BARAT,3274,KOTA CIREBON,BALITA KURUS,837,ORANG,2020
148,32,JAWA BARAT,3275,KOTA BEKASI,BALITA GIZI KURANG,8228,ORANG,2020
149,32,JAWA BARAT,3275,KOTA BEKASI,BALITA PENDEK,14194,ORANG,2020
150,32,JAWA BARAT,3275,KOTA BEKASI,BALITA KURUS,7954,ORANG,2020
151,32,JAWA BARAT,3276,KOTA DEPOK,BALITA GIZI KURANG,5948,ORANG,2020
152,32,JAWA BARAT,3276,KOTA DEPOK,BALITA PENDEK,5718,ORANG,2020
153,32,JAWA BARAT,3276,KOTA DEPOK,BALITA KURUS,3568,ORANG,2020
154,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA GIZI KURANG,2491,ORANG,2020
155,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA PENDEK,3520,ORANG,2020
156,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA KURUS,1204,ORANG,2020
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA GIZI KURANG,3738,ORANG,2020
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA PENDEK,5373,ORANG,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA KURUS,1679,ORANG,2020
160,32,JAWA BARAT,3279,KOTA BANJAR,BALITA GIZI KURANG,1086,ORANG,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,BALITA PENDEK,1355,ORANG,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,BALITA KURUS,837,ORANG,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA GIZI KURANG,16821,ORANG,2021
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA PENDEK,32123,ORANG,2021
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA KURUS,18913,ORANG,2021
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA GIZI KURANG,6543,ORANG,2021
167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA PENDEK,14356,ORANG,2021
168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA KURUS,9301,ORANG,2021
169,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA GIZI KURANG,5146,ORANG,2021
170,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA PENDEK,7750,ORANG,2021
171,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA KURUS,7602,ORANG,2021
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA GIZI KURANG,9596,ORANG,2021
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA PENDEK,4870,ORANG,2021
174,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA KURUS,14062,ORANG,2021
175,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA GIZI KURANG,5150,ORANG,2021
176,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA PENDEK,10009,ORANG,2021
177,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA KURUS,8932,ORANG,2021
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA GIZI KURANG,4606,ORANG,2021
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA PENDEK,15175,ORANG,2021
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA KURUS,8597,ORANG,2021
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA GIZI KURANG,1977,ORANG,2021
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA PENDEK,2673,ORANG,2021
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA KURUS,3697,ORANG,2021
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA GIZI KURANG,2461,ORANG,2021
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA PENDEK,3662,ORANG,2021
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA KURUS,3866,ORANG,2021
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA GIZI KURANG,7876,ORANG,2021
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA PENDEK,11670,ORANG,2021
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA KURUS,13385,ORANG,2021
190,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA GIZI KURANG,2471,ORANG,2021
191,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA PENDEK,2932,ORANG,2021
192,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA KURUS,3705,ORANG,2021
193,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA GIZI KURANG,2381,ORANG,2021
194,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA PENDEK,8092,ORANG,2021
195,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA KURUS,5732,ORANG,2021
196,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA GIZI KURANG,5973,ORANG,2021
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA PENDEK,5183,ORANG,2021
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA KURUS,5586,ORANG,2021
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA GIZI KURANG,2390,ORANG,2021
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA PENDEK,1546,ORANG,2021
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA KURUS,1980,ORANG,2021
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA GIZI KURANG,1228,ORANG,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA PENDEK,2505,ORANG,2021
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA KURUS,2211,ORANG,2021
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA GIZI KURANG,2914,ORANG,2021
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA PENDEK,4216,ORANG,2021
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA KURUS,4174,ORANG,2021
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA GIZI KURANG,7548,ORANG,2021
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA PENDEK,9354,ORANG,2021
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA KURUS,7708,ORANG,2021
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA GIZI KURANG,5164,ORANG,2021
